code_departement,libelle_departement,population_18_24,population_25_29,population_30_44,population_scolarisee_18_24,population_scolarisee_25_29,source_insee
75,Paris,233890,219978,457512,169914,37034,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-75
972,Martinique,24716,15892,55415,11032,921,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-972
971,Guadeloupe,28094,16864,59944,12878,960,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-971
63,Puy-de-Dôme,60661,35342,118600,35772,3764,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-63
31,Haute-Garonne,158829,102413,296581,101006,13102,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-31
93,Seine-Saint-Denis,157537,118731,374145,87760,13362,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-93
54,Meurthe-et-Moselle,74992,42292,135472,45121,4679,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-54
09,Ariège,8903,6740,25694,2763,353,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-09
94,Val-de-Marne,134870,102090,300085,84472,14096,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-94
33,Gironde,155182,99089,329578,89685,11214,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-33
95,Val-d'Oise,112163,79597,265526,62984,7611,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-95
69,Rhône,206170,133421,380033,129704,15676,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-69
91,Essonne,117425,83903,265482,65969,8357,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-91
44,Loire-Atlantique,126908,86285,291312,69241,7723,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-44
35,Ille-et-Vilaine,109189,66719,211229,64954,6970,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-35
38,Isère,111301,71201,243227,60286,6759,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-38
13,Bouches-du-Rhône,174086,118002,389269,97717,12386,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-13
34,Hérault,115588,69442,219337,70579,9296,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-34
77,Seine-et-Marne,122074,86473,296649,61797,6249,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-77
37,Indre-et-Loire,55507,32971,108199,31868,3434,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-37
86,Vienne,43132,22793,74053,25427,2545,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-86
48,Lozère,4929,3412,12243,2082,203,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-48
92,Hauts-de-Seine,143042,121916,366884,94906,14864,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-92
87,Haute-Vienne,32093,18031,60747,18196,1963,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-87
76,Seine-Maritime,110912,70769,227515,56742,6276,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-76
