code_departement,voix_nupes_wikipedia_t1,voix_nupes_csv_actuel,ecart,pourcentage_nupes_wikipedia_t1,source,methode
01,46671,46671,0,22.52,Wikipédia - Élections législatives de 2022 dans l'Ain,total_coalition_wikipedia
02,40464,40464,0,24.08,Wikipédia - Élections législatives de 2022 dans l'Aisne,total_coalition_wikipedia
03,30034,30034,0,24.23,Wikipédia - Élections législatives de 2022 dans l'Allier,total_coalition_wikipedia
04,18684,18684,0,28.67,Wikipédia - Élections législatives de 2022 dans les Alpes-de-Haute-Provence,total_coalition_wikipedia
05,16927,16927,0,28.73,Wikipédia - Élections législatives de 2022 dans les Hautes-Alpes,total_coalition_wikipedia
06,58127,58127,0,16.72,Wikipédia - Élections législatives de 2022 dans les Alpes-Maritimes,total_coalition_wikipedia
07,38881,38881,0,28.93,Wikipédia - Élections législatives de 2022 dans l'Ardèche,total_coalition_wikipedia
08,14752,14752,0,17.52,Wikipédia - Élections législatives de 2022 dans les Ardennes,total_coalition_wikipedia
09,19771,19771,0,31.05,Wikipédia - Élections législatives de 2022 dans l'Ariège,total_coalition_wikipedia
10,17153,17153,0,17.46,Wikipédia - Élections législatives de 2022 dans l'Aube,total_coalition_wikipedia
11,35371,35371,0,25.09,Wikipédia - Élections législatives de 2022 dans l'Aude,total_coalition_wikipedia
12,29951,29951,0,25.37,Wikipédia - Élections législatives de 2022 dans l'Aveyron,total_coalition_wikipedia
13,161290,161290,0,26.24,Wikipédia - Élections législatives de 2022 dans les Bouches-du-Rhône,total_coalition_wikipedia
16,28247,28247,0,22.39,Wikipédia - Élections législatives de 2022 en Charente,total_coalition_wikipedia
17,57489,57489,0,22.41,Wikipédia - Élections législatives de 2022 en Charente-Maritime,total_coalition_wikipedia
18,27571,27571,0,25.72,Wikipédia - Élections législatives de 2022 dans le Cher,total_coalition_wikipedia
21,43029,43029,0,23.31,Wikipédia - Élections législatives de 2022 dans la Côte-d'Or,total_coalition_wikipedia
22,66434,66434,0,25.92,Wikipédia - Élections législatives de 2022 dans les Côtes-d'Armor,total_coalition_wikipedia
23,12545,12545,0,26.37,Wikipédia - Élections législatives de 2022 dans la Creuse,total_coalition_wikipedia
24,40783,40783,0,23.89,Wikipédia - Élections législatives de 2022 en Dordogne,total_coalition_wikipedia
25,43643,43643,0,24.37,Wikipédia - Élections législatives de 2022 dans le Doubs,total_coalition_wikipedia
26,57637,57637,0,30.17,Wikipédia - Élections législatives de 2022 dans la Drôme,total_coalition_wikipedia
29,113236,113236,0,30.72,Wikipédia - Élections législatives de 2022 dans le Finistère,total_coalition_wikipedia
30,65610,65610,0,25.52,Wikipédia - Élections législatives de 2022 dans le Gard,total_coalition_wikipedia
31,166344,166344,0,33.85,Wikipédia - Élections législatives de 2022 dans la Haute-Garonne,total_coalition_wikipedia
32,17343,17343,0,21.46,Wikipédia - Élections législatives de 2022 dans le Gers,total_coalition_wikipedia
33,173442,173442,0,29.99,Wikipédia - Élections législatives de 2022 en Gironde,total_coalition_wikipedia
35,132936,132936,0,33.13,Wikipédia - Élections législatives de 2022 en Ille-et-Vilaine,total_coalition_wikipedia
36,18128,18128,0,22.25,Wikipédia - Élections législatives de 2022 dans l'Indre,total_coalition_wikipedia
